id,text,label,event,pred
500360889347096576,so ... they clearly released that video only to shame & blame the victim. Ferguson MikeBrown,1,1,0
499553593041903616,BREAKING: Anonymous has obtained audio files of police dispatch and EMS during the MikeBrown shooting. Will release ASAP. Ferguson,1,1,0
500336373833170945,Ferguson police are embarking on what can only be described as an elaborate smear campaign of Michael Brown,1,1,0
500303238810574849,Someone with better eyes than me please checkthedatestamp on the bottom left photo. Isn't that JUNE? Ferguson,1,1,0
499494187969298432,"What are Ferguson Police hiding about ""drive by"" shooting of black woman recording last night's action? OpFerguson",1,1,0
498272309535191041,200 cops in riot gear in ferguson because there is a prayer circle and a concerned compassionate community,1,1,0
500290456845299714,Here's the police report. Somehow Ferguson cops valued a box of Swishers at nearly $50. Time to stop smokin I guess,1,1,0
500368579875704832,I'm so disgusted. Ferguson RT @USER: This has now devolved into the worst police shooting cover-up attempt in US history.,1,1,0
500360018928353280,Lawyers for police in bad shootings often advise shooters not to write reports or even speak to commanders or investigators. Ferguson,1,1,0
500284871541940225,I'm NOT believing this story because I know how the police lie and will keep lying and will organize together AND LIE. MIKEBROWN Ferguson,1,1,0
499366666300846081,Line of police cars with high beams on greets anyone trying to enter Ferguson. It's shut down. No media allowed.,1,1,0
499431474731683841,BREAKING One woman shot in drive-by shooting on 1300 Highmont near the QT. Cannot confirm if the victim survived. ferguson mikebrown,1,1,0
500328758201815041,Disgusting: MO chapter of Klan raising money as “reward” for the officer killing MikeBrown. Ferguson UniteBlue,1,1,0
500289307257868288,The selective release of information by Ferguson PD tells us nothing about the shooting. Instead appears to be a basic smear job.,1,1,0
500298752469770240,Shoot unarmed kid. Conceal evidence. Impose martial law. Harass reporters. Smear the victim. Worst. Police. Ever. Ferguson MikeBrown,1,1,0
498274493337702401,: Teenager MikeBrown won't start college on Monday because he was shot ten times by a Ferguson police officer.,0,1,1
499674825753772033,"Ferguson FergusonRiot JailSupport helps those arrested in order to connect them to lawyers, relay messages...",0,1,1
499696733979688961,"Military-style police in overwhelming show of force: 3 APCs, ~100 officers, high-powered rifles Ferguson",0,1,1
499705599454883840,"Looking at Ferguson and feeling anger, then helplessness, then more anger. They're not even pretending to acknowledge our humanity.",0,1,1
500430673099104256,"Wake up. Whenever a black man is killed by police, they try to make him a Saint/Martyr. 99% of the time he's a POS Thug. Ferguson",0,1,1
500186504279625728,4 arrested in Times Square after march supporting Ferguson NMOS14,0,1,1
529720675272249344,So @USER Concert @USER 4 tickets/person & max seating is 3300 Still a chance if you want to brave it! PrinceToronto,1,3,0
580333763512705025,Germanwings latest: - Airbus A320 crashes in French Alps - Barcelona-to-Dusseldorf flight - 142 passengers & 6 crew,1,4,0
